kelime,anlam
Aralık,Sokak
Ars,Gelincik
Asartma,Korumaya alınmış ağaç
Aşane,Mutfak
Avgun,Pis su borusu
Avu,Zehir
Ayakyolu,Tuvalet
Aze,Vücut organları
Badal,Merdiven basamağı
Badik,Kaz yavrusu
Bağırdak,Beşikte yatan çocuğu saran bez
Bakrak,"Madeni su kovası, bakraç"
Balak,Manda yavrusu
Bandik,Kadın şalvarı
Barama,İpek kozası
Başlak,Başı açık
Bayak,Az önce
Bazlambaç,Tavada yağla pişirilen ekmek
Becit,Çok acele
Beh,Kapora
Beleme,Çocuğu beşiğe yatırma
Belleme,Basmadan yapılan etek
Bennek,Bencil
Betgu,Kaba ve dokunaklı konuşan
Bezek,Don kemeri
Bıçaklık,Kiler
Bıçkı,Ot biçmeye yarayan ağzı testereli bıçak
Bıldır,Geçen yıl
Bikiyi,Azıcık
Birader,Erkek kardeş
Bişi,Yağda kızartılmış küçük hamur parçaları
Bocut,Tahta su fıçısı
Boduç,Tahta su fıçısı
Bolat,Sert
Borani,"Yumurta, yoğurt ve nane ile yapılan bir yiyecek."
Bosdili,Altı aydan büyük keçi
Boyunduruk,Öküzü saban ve kağnıya koşmaya yarayan alet
Bozgun,İshal
Böğür,Göğüs
Böğürmek,Sığırın ses çıkarması
Börddüme,Haşlama
Bun,Bunaltı
Burma,Musluk
Buymak,Üşümek
Buzalacı,Gebe inek
Bük,"Küçük ağaç, çalı"
Bürük,Kara çarşaf
Cağ,Beyaz kumaş torba
Cebiş,Bir yaşından büyük dişi keçi
Cergi,Kendiri bağlayarak demet haline getirme
Cımcık,Çok sulu
Cıngıroğu,Zil
Cırcır,Fermuar/İshal
Cibillik,"Sulu, çamurlu"
Cicik,Meme
Cicile,Misket
Cimbek,Saka kuşu
Cimcik,Kesme hamurdan yapılan yoğurtlu bir yemek
Cimin,"Küçük sinek, sivrisinek"
Cin arabası,Bisiklet
Cip,Hemen
Comba,Erkek manda
Cor,Fıtık hastalığı
Cula,Küçük karga
Cücük,Civciv
Çaldıratma,"Arpa, yulaf gibi tahılları elemeye yarayan alet"
Çalkama,Pekmezin sulandırılması/Yoğurttan yapılan ayran
Çapula,Deriden yapılan basit ayakkabı
Çaput,Bez parçası
Çaynık,Çaydanlık
Çeç,Samanı ayrılmamış tahıl
Çeğle,Küçük taş
Çehresiz,Yüzü gülmeyen
Çeten,Kağnı üzerine konup saman ve kemre taşınan sepet
Çevirge,Kağnıya yüklenen yükü urgan bağlayıp gerdirmeye yarayan alet
Çıkı,Küçük bohça
Çırpma,Kapuska
Çıt,Basit kapı anahtarı
Çiğit,"Çekirdek, tohum"
Çilte,Uzun sopa
Çimmek,Boy abdesti almak/Yıkanmak
Çokmak,Köpeğin havlaması
Çomça,Ağaçtan yapılan su tası
Çor,Tuzlu su
Çostik,Hayvan boynuzu ile oynanan çocuk oyunu
Çoştar,Her şeyle ilgilenen
Çotur,Kısa boylu
Çöğdürçüş,Tahterevalli
Çökü,"Başörtüsü, yemeni"
Çötle,Çeşme borusu
Çuğul,Yığın
Çükündür,Kırmızı pancar
Dahra,"Sapı kısa, ucu eğri kesici alet"
Daku,"Takı, hediye"
Dam,Ahır
Daraba,Tahtadan yapılan bahçe çiti
Dansuklama,"Alay etme, eğlenme"
Dırıtıvermek,Söz dinlememek
Dapçuk,"Dengesiz, yersiz konuşan"
Dastar,Arasına ekmek konan bez
Değirmi,Yuvarlak
Temgeç,Semaverin demlik konan yeri
Demin,Az önce
Deri günü,Pazar günü
Dıravacı,Sahtekâr
Dingildombalak,Tepe takla
Dingosuruk,Çok çabuk kızan
Dirgen,"Ucu çatallı sopa, ziraat aleti"
Diri tutma,Israr etme
Dişöğü,Değirmen taşını dişleyen çekiç
Dobak,Boynuzsuz hayvan/Saçı olmayan
Doğah,Öküze söylenme komutu
Döğen,Harman da sapları ezmeye yarayan alet
Dömbüldek,Darbuka
Döngel,Muşmula
Döşşek,Yatak
Dumoğu,Nezle
Düvlek,Olmamış kavun
Ebe,Nene
Eğdişmek,Biriyle uğraşmak
Elçi,Eğitilmiş hayvan
Elleğam,Her halde
Ellek,"Eli çabuk, becerikli"
Ellik,Orakla ekin biçerken parmaklara takılan ağaçtan yapılmış bir alet
Emen,Sebze ekmek için açılmış çukur
Emeksüz,Evlatlık çocuk
Emme,Hala
Emzük,Yalancı meme
En güdük,En sonuncu
Endirek,"Çilek ağacı, sandal ağacı"
Enek,"Bilye, misket"
Erinme,"İşi gözü almama, tembellik"
Eski,Bez parçası
Esnek,Demirden yapılmış ucu sivri tasma
Eşikbaşı,Balkon
Ezme,Domates salçası/Meyve marmeladı
Fasla,Tatlı dilimi
Feğülsüz,"Doyumsuz, açgözlü"
Ferik,Piliç/Sincap
Fermanlu,Kendini beğenmiş
Feşel,Yaramaz çocuk
Fışkı,Çöp
Filkete,Çatal iğne
Firek,Kilit
Fisil,Küçük soğan
Fisürtü,İsilek
Fitleme,Kışkırtma
Gadid,Kuru
Galaylama,Sövme
Galtak,Kötü kadın
Gancık,Dişi hayvan
Gara Baldırcan,Patlıcan
Garalık,Siyah renkteki okul önlüğü
Garipseme,Özleme
Garuklu,Buğday ve arpanın beraber öğütülüp un yapılması
Gastarma,Koruma kollama
Gatık,Yayık ayranının süzülmüş hali
Gavlağan,Çınar
Gavurga,Mısır patlağı/ Nohudun su veya ateşte pişirilmesi
Gayma,Lira
Gebeş,Göbekli şişman
Gıcık,"Koyun ve keçinin genel adı, davar/Çam kozalağı"
Gıdak,Çocuk dilinde yumurta
Gıgık,Yumurta
Gıncır Göbek,Göbek salıncağı
Gıngılik,Tavuk ibiği
Gıpti,Cimri
Gırboğu,Kurbağa
Gırışma,Sevinme
Gırmızı Baldırcan,Domates
Gırnap,"Sicim, ince ip"
Gırnat,Klarnet
Gısıruk,Kapının aralanması
Gısmuk,Cimri
Gış,Kar
Gıymuk,Küçük tahta parçası
Gıynaşuk,Kapının aralıklı kalması
Gişi,Erkek/koca
Gocuk,"Kısa palto, kaban"
Gor,Köz
Goruk,Olgunlaşmamış üzüm/Yabani üzüm
Govcu,"Laf taşıyan, ispiyoncu"
Göbel,Yetim çocuk
Göcek,Semerin arkasında bulunan u şeklindeki demir
Gök,Mavi/Olmamış meyve
Gölbez,Üç aylıktan büyük köpek yavrusu
Gölü,Yük taşıyan at ve eşek
Görebi,"Ağaç ve çalı kesmeye yarayan, ucu eğri demir alet"
Göynümüş,Meyvenin çok olmuş hali
Gözer,Buğday elemeye yarayan alet
Gubak,Çocuk oyununda sayı
Gubarmak,Horoz ve hindinin tüylerini açması
Gubat,Kaba
Gudret suyu,"Ilıca, kaplıca"
Gundak,Kedi yavrusu
Gunnacı,Gebe at ve eşek
Gursak,Mide
Gurumlu,"Kibirli, havalı"
Guytuk,Çukur
Guz,Güneş görmeyen yer
Guzulacı,Gebe koyun ve keçi
Güdek,Çocuk oyununda ebe olmak/Kısa
Günüleme,Kıskanma
Güyoğu,Damat
Güvez,"Vişne çürüğü, bordo rengi"
Haluşka,Hamur çorbası
Halvet,Hamam odası
Hamdaysa,Halbuki
Hapaz,Avuç
Harar,Büyük çuval
Hareket,Deprem
Havruz,Lazımlık
Haydos,Çalgıcı
Hazitme,Sevme
Hedik,Aşure
Hereni,Büyük tencere
Herkil,Küçük ambar
Herlik,Sincap
Homis,"Beleş, bedava"
Hopur,Acuk tatlısı
Hosul,Patlıcan ve biber közlemesi
Hozan,Verimsiz tarla
Hödük,"Ürkek, korkak"
Hörpük,Helvanın keşi
Hörüklü,Çok dolu
Hös Hös,"Kalitesiz iş yapan, işi önemsemeyen"
Hulgum,Lokum
Humatun,Baykuş
Huycuklanma,Şüphelenme
Hüşümlenme,"Korkma, ürperme"
Ilıncak,Bebek salıncağı
Islak,Kendir ıslatılan havuz
Işgın,Yeni bitki sürgünü
Işıklık,Tavan penceresi
İçlik,Pamuklu iç çamaşırı
İğdiş,Erkekliği olmayan
İlistir,"Süzgeç, kevgir"
İnge,Yenge
İslah,"İyi, güzel"
İskembi,Sandalye
İyeğü,Kaburga kemiği
Kalbur,"Buğday, arpa gibi tahılları eleme aleti"
Karaçağ,"Kağnının üstüne konan, kazık takmaya yük yüklemeye yarayan bir parça"
Kaypak,Hamurdan yapılan bir yemek
Kehle,Bit
Keleçoş,Kendisini ilgilendirmeyen işlerle uğraşan
Kelem,Beyaz top lahana
Kelemaşı,Kapuska
Kelibik,İbibik kuşu
Kelik,"Basit bağ evi, kulübe"
Keltek,Eski ayakkabı
Kemüre,"Hayvan Pisliği, Gübre"
Kendürük,Hamur teknesinin altına konan deri altlık
Kenef,Tuvalet
Kepçük,Dişsiz/Çirkin
Kesmük,Meyve artığı
Keşik,Sıra
Kevgür,Su kabağından yapılan tas
Kırık,Sıpa
Kırma,Melez
Kiren,Kızılcık
Kirtik,Küçük sabun
Kombez,Kestane kebap
Koruk,Yabani üzüm
Kömüş,Manda
Kör Cimbek,"Serçeden küçük kuş, saka kuşu"
Kösüre,"Balta, bıçak bileği taşı"
Kupay,Tavşan avcısı kısa boylu bir köpek türü
Küflek,Tahtadan yapılmış kova
Küsküt,Saç ekmeği pişirirken çevirmeye yarayan alet
Küt İskembi,Küçük oturak
Lığlak,Araziye akıtılan suyla ince toprak gelmesi
Lom Sözlü,Kaba kırıcı insan
Lorç,Çok ıslak
Makat,Sedir
Mandal,Kapı kolu
Marsuk,Yanmış kömür
Maşrapa,Büyük su tası
Maymun,Topaç
Mazak,"Çok acı, olmamış meyve"
Mazı,Kağnının tekerlek bağlantısını sağlayan parça
Mecek,Küçük çapa
Mengül,"Halka, bilezik"
Mertek,"Uzun ağaç, kereste"
Merzimen,Merdiven
Metel,Bilmece
Mıh,Çivi
Mıhlama,"Yumurta, kıyma, ıspanak veya patates kullanılarak yapılan bir yemek"
Mırık,Küçük domates/soğan yemeği
Mıtırıp,Cimri
Minik,Yeni doğmuş köpek yavrusu
Motur,Traktör
Mumbar,Hayvan bağırsağı
Muşma,Yumruk
Namazloğu,Seccade
Natır,Kadın tellak
Nevazil,Nezle
Nızla,Asap
Nodul,Övenderenin ucundaki çivi
Nüzül,"Felç, inme"
Okloğo,"Hamur açmaya yarayan alet, oklava"
Orak,"Ekin biçmeye yarayan, hilal şeklinde saplı alet"
Öğendere,Öküzleri idare etmede kullanılan değnek
Öğsü,Yanan odun parçası alet
Öllük,Bebeğin beşikte altına konan toprak
Ömürdoğdu,Gökkuşağı
Önük,Köpek
Örsün,Hamur parçalamaya yarayan alet
Örüm,Koyun sürüsünün gece otlatılması
Ötürek,İshal
Öyükmek,Çamura batmak
Özgü,Türkü
Paçur,"Kirli yırtık elbiseli, sünepe"
Pahal,Cimri
Parpu,Uzun ince sopa
Pakla,Fasulye
Papara,Bayat ekmek ve et suyuyla yapılan bir yemek
Paya,Öfke/kapris
Pelüze,"Nişasta, şeker ve sıcak su ile yapılan bir çocuk yiyeceği"
Penek,Küçük ahır penceresi
Peşgir,Adi kumaştan yapılmış havlu
Pırtı,Basma ve benzeri bez
Pıtmıt,Yuvarlak ve kalın sac ekmeği
Pıtpıt,Yuvarlak ve kalın sac ekmeği
Picikme,"Şüphelenme, huylanma"
Pin,Küçük tavuk kümesi
Pinti,Cimri
Pişirgeç,Üçayaklı demir
Pokluk,"Hayvan gübresinin depolandığı yer, gübrelik"
Potin,Deri ayakkabı
Poymak,Kaçmak
Pöç,Kuyruk sokumu
Pöre,Kiremitten su borusu
Puğu,Dövülmüş nohut ve şeker karışımı ile yapılan bir tatlı
Puta,Başa örtülen çarşaf
Püsürgeç,Sac ekmeğini pişirirken çevirmeye yarayan alet
Reçber,Çiftçi
Sacayak,Ocakta üzerine kap konulan üçayaklı demir eşya
Sadır,At ve eşek sidiği
Saku,Ceket
Salakana,Başıboş gezen sahipsiz köpek
Samaruk,Turp gibi sebzelerin içinin boş olması
Samsa,Büyük tatlı ve börek dilimi
Savak,Değirmen oluğu
Sef,Yanlış
Seğirtmek,Koşmak
Seğrilce,At ve eşek sineği
Seme,Kendinde olmayan
Seten,Bulgur dövülen büyük değirmen taşı
Seyis,Kısırlaştırılmış erkek keçi
Sığırtmaç,Köy sığır çobanı
Sıracalı,"Bulaşık, belalı"
Singil,"Beleşçi, yancı"
Sirke,Bit yumurtası
Sitil,Küçük bakraç
Sivrik,Ekinin yeni bitmiş hali
Soğukluk,Semiz otu
Soğutmaz,Termos
Soku,Bulgur dövülen içi çukur taş
Soluğan,At ve eşeğin iyi nefes alamaması
Som,Ekinin saman ve dane karışımı
Somak,Tanesi alınmış mısır koçanı
Sot,Topaç
Suğlu,Çevirme yapılırken kaz ve kuzunun ortasına takılan demir veya ağaç sopa
Süngüt,Semaver ve demlik de oluşan kireç
Sürgüç,Bulaşık bezi
Sütlü,Sütlaç
Şakşak,Kapı tokmağı
Şallak,Donsuz
Şerefiye,Patlıcan oturtması
Şibi,Kaz ve ördek yavrusu
Şirnimek,Şımarmak
Şişek,Bir yaşındaki dişi koyun
Şişük,Şımarık
Şoşalak,Şaşırmış ne yaptığını bilmeyen
Taslama,Övünme
Tazı,Uzun bacaklı tavşan avcısı bir köpek türü
Tebelleş,Sürekli sataşma
Temgeç,Semaverde demliğin konulduğu yer
Temşüt,Sahur
Terece,"Raf, sergen"
Terki,Ata iki kişi binince ikinci kişinin oturduğu yer
Tevek,Sarmalık üzüm yaprağı
Tınaz,Ekin yığını
Tapan,Arazi düzleme ve tohum kapatmada kullanılan alet
Tınık,Genizden konuşan
Tırıl,Sinirli kişi
Tırpan,Ekin ve ot biçmeye yarayan ağzı ve uzun alet
Tıylak,Tay
Tinkos,"Alıngan, çabuk küsen"
Tohna,Şişman kısa boylu
Tokaç,Çamaşır yıkama sopası
Toklu,Yaşına değmemiş erkek kuzu
Toktok,İnce bulgurdan yapılmış pilav
Tök Tök,Hindi
Tufa,Çene
Tumman,Uzun don
Tüğül,Sapları birbirine bağlanmış meyve demeti
Uğra,Ekmek yaparken hamur yapışmasın diye kullanılan un
Uğut,Buğdaydan yapılan tatlı
Ulaşık,Nişanlı
Urba,"Elbise, giysi"
Üğü,Baykuş
Üleş,Leş
Üleşme,"Paylaşma, taksim"
Ütme,Ateş de pişmiş taze mısır
Vizik,Güvercin yavrusu
Yaba,"Kürek şeklinde, ucu parmaklı harman aleti"
Yağazlama,Bunama
Yahni,Sulu salçalı et yemeği
Yal,Hayvanlar için un ve kepek karışımı ile hazırlanan sulu yem
Yanuç,Yengec
Yangabuz,Aksi kişi
Yanşama,Tekrar tekrar söyleme
Yaşmak,Başörtüsü bağlama şekli
Yavşuk,Bit yumurtası
Yayık,Yoğurt ve sütten yağ çıkarmak kullanılan
Yemişen,Trabzon hurması
Yeşilistan,Kertenkele
Yıldamcı,Her yıl doğuran hayvan için söylenir
Yıluk,Şaşı
Yoka,Yufka/İnce
Yumulak,Saklambaç oyunu
Yumulmaç,Saklambaç oyunu
Yunak,Çamaşırlık
Yüklü,Gebe
Yüklük,Yatak konulan dolap
Zağar,Başıboş gezen sahipsiz köpek
Zahir,Her halde
Zahra,Yemeklik tahıl
Zarzalak,Leylak çiçeği
Zavrak,Salatalık
Ansara,Sonra
Asta,Hasta
Ayazlık,Evin alt katındaki odalara açılan genişçe alan
Aygülü,Ayçiçeği
Bacık,Kaplumbağa
Bare başı,Raf
Bıçkı,Testere
Bre,Bayanların erkeklere hitap şekli
Çal,Orman
Çançük,Çekiç
Çiçirişka,Sincap
Çikilinga,"Bir kuş türü, su kuşu"
Dayama,Tütün kuruturken kapıları dayamak için kullanılan yaklaşık iki metre
Dolak,Etek
Dolama,Gömlek
Domati,Domates
Dumoğ,Grip hastalığı
Encek,"Kedi, köpek yavrusu"
Fetoz,Kadınlarda bir baş örtme şekli
Fıta,Önlük
Gazdirik,"Gamsız, kedersiz, boş gezen"
Gıba,Mantar
Gurçilik,Tahterevalli
Gusturga,Küçük kertenkele
Hanay,Evin ikinci katı
Haran,Tütün kapılarının konulduğu kapalı yer
Harim,"Evin ön bahçesi, avlu"
Havur,Ahır
Hevenk,İpe asılmış ve kurutulmuş tütün bağı
Kadi,Yenge
Kakava,Çitlembik
Kandak,Tarla sınırını birbirinden ayıran yükseklik
Kavkaz,"Mısır sapı kesildikten sonra toprakta kalan kısım, anız"
Kevik,"Tütün hevenklerinin asıldığı kanca, askı"
Kırasnak,Yemek yerken sininin altına konan kasnak
Kukumağuk,Baykuş
Kırma,Havlu
Kızan,Çocuk
Kiya,Ağaç dallarını tutan uç kısım
Kobak,Mısır taneleri yendikten sonra kalan kısım
Koçur,Fındık ve ağaç dallarıyla örülmüş içine mısır konan ambar
Kolapana,Çocuk bezi
Kompil,Patates
Kotar,Koyunların yattığı yer
Mancar,Kertenkele
Mari,Kadınların kullandığı bir hitap şekli
Masaf,Sini
Memişhane,Tuvalet
Mısandıra,Duvar içine gömme dolap
Mostura,"Kötü, kötülüğü örnek"
Pelik,Saç örgüsü
Pırtı,Elbise
Polak,Su tası
Porta,Sokak
Saya,Kadınların dışarıda giydiği siyah renkli uzun giyecek
Sergen,Kurumuş mısırların depolandığı ambar biçimli yapı
Sevte,İlk
Şami,Beyaz tülbent
Şeyka,Çivi
Tahnal,Taflan
Tekme,Hayvanların su içtiği yalak
Tete,Teyze
Tibacık,Uzakta görülen bir yer ve eşyayı göstermek için söz
Yanbacık,Yengeç
Yasla,"Hayvanların yemlerinin döküldüğü yer, yemlik"
Yastavuç,Üzerinde yufka hamuru açılan tahta
Yemeni,Lastik ayakkabı
Yeyin,Hafif
Yıram,Kilim
Zare,Kurumuş mısır sapı
Zelnik,Semizotu
Zıyrangıç,Kar yağdığında kızakla kayılan yer
Zifir,Tütün zifti
Zifirlik,Sadece tütün kıyarken veya dizerken giyilen giysi
Gözee,Güzel
Töbosun,Tövbe olsun
Gali,Gari anlamında.
Haşheşli Gözme,Haşhaşlı Gözleme
Tarna,Tarhana
Deli Tandır,Odun Sobası
Gelyon,Geliyorum
Gityon,Gidiyorum
Yapyon,Yapıyorum
Kesyon,Kesiyorum (ve bunun gibi birçok örnekle çoğaltılabilir)
Büber,Biber
Kompil,Patates
Irmızan,Ramazan
Üsen,Hüseyin
Gayınna,Kaynana
Şerfe,Şerife
İbram,İbrahim• Gııııııı : Bayanlara (seslenmek amacıyla söylenir)
Lenn,Erkeklere hitap ( seslenmek amacıyla söylenir)
Dada,Çocuk
Badılcan,Patlıcan
Kesdene,Kestane
Gayınpeder,Kayınpeder
İlyen,Leğen
Sıfra,Sofra
Sıfraaltı,Yer sofrasının altına serilen örtüYaygı
Curuk,Hindi
Mezerlik,Mezarlık
Ünnemek,Çağırmak
Erkeç,Keçi
Gemiyonuzmu,Gelmiyormusunuz (Burdaki 'n' harfi damaktan vurgulanacak)
Galdırımcı,Kaldırımcı (yol işi yapan ustalara denir ki : bu Tepecikte Ata mesleğidir.)
Deze,Teyze
Enkini,Elindeki şey veya 'onu' anlamında söylenir
Napyon,Napıyorsun (Ne haber veya Nasılsın anlamında kullanılır)
Gıdaagadaa,Kadar
Dartvicenmi,Tartıverecekmisin
Bizimoğlan,Öyle bir kelimedir ki açıklaması dahi zordur.Bazen yakın erkek akrabalara
Bizimgız,yukarudakinin değişiği
Nigıdanegada,Ne kadar
Gaktırıvee,İtele İtekle
Vaa,Var
Acıktan,Birazdanbiraz sonra
Gara benizli,Esmer yüzlü
Çapar,Sarı saçlısarışınlara ve renkli gözlülere denir.
Hökümat,Hükümet
Hinciki,Şimdiki
Köv,Köy
Goley,Kolay
Köthaya,Kütahya
Sıpıtmak,Fırlatmakileriye atmak
Gıyneşve,Hareket etdavran anlamında
Ünnemiş,Seslenmişçağırmış
Urlara,Oralara
Burlara,Buralara
Ge Bure,Buraya gel
Hişdamma,Sessiz ol.Sus! anlamında
Eyyaha Bag,Vallaha bak ! gibi bir sözdür. (genelde bayanlar kullanır)
Bihoş,Bir tuhaf
Mayhoş,Ekşi
Gündöndü,Ayçiçeğiçekirdek
Dee UrdaDee ha,Taa orada
Iscak,Sıcak
Aha Boo,İşte bu
Emme,Ama.Fakat
Çekişmek,Kavga etmek
Cereme,CezaKülfet
Gayıl olmak,Razı olmak
Sası,YavanTuzsuz.
Avara,Gevşek.İşe yaramaz
Apışmak,Öylece kalakalmak
BöğürBörün,Göğüs.Gövde
Bürünmek,Örtünmek
Çıngırdak,ZilÇan
Çapıt,ÇaputBez
Çıkı,Mendil yada bezden Torba
Dürü,Gelin Hediye bohçası
Ecinni,ŞeytanCin
Engücü,Eninde sonundanasıl olsa
Erinmek,Üşenmek
Gaçıl,Kenara çekil
Havas,HevesMerak
Hırt,Olgunlaşmamışçiğ
Hinci,Şimdi
Gav gibi,Hafif
Masus,Şaka
Mayışmak,Gevşemek
Muzur,Aksi yaramazafacan çocuk
Müdane,MinnetTenezzül
Narasın,Ne arasın?..Yokmevcut değil
Sumsuk,Yumruk
Süsmek,Büyükbaş hayvanların insanı boynuzuyla iteklemesi
Şinik,Tahıl ölçeği
Marma,Havlu (eskiler derdigençler pek bilmez)
Urba,Elbise
Yüklük,Yatak yorganın yığıldığı dolap veya yer
Zıbarmak,Uyumak
Emmi,Amca (yeni nesiller artık Emmi hitabını kullanmıyor)
Goyve,Koyuverbırakıver
Baken,Bakayım
Dartvicenmi,Tartıverecekmisin (pazarda)
Alvicenizmi,Alıverecekmisiniz
Açıvicenizmi,Açıverecekmisiniz
Nolcek,Ne olacak
Nigada,Ne kadar
Musfa,Mustafa
Sadıç,Sağdıç
Kemkirmek,şımarmak
Badılcan,Patlıcan
Göveç,Güveç
Bönelek,Konuşmadan bön bön bakana denir.
Uluk,Bir işi beceremeyene denir.
Samsak,Sarımsak
Örtme,Eskiden kadınların başlarına giydiği koyu renkli bir çeşit yöresel örtü
Enteri,Entarigömlek
Bıza,Buzağı
Malak,Manda yavrusu
Gatık,Katık (kurutulmuş yoğurt.eski geleneksel yiyeceklerden)
Alma,Elma
Yunmak,Yıkamak
Yülütmek,Traş ettirmek
TemmiçTemmiş,Sahur vakti (Ramazanda)
ÜleşmekÖleşmek,Paylaşmak
AbuuAboo,Çok aşırılığı ifade etmek için ünlem sözü.
Anız,Biçilen buğdayın tarlada kalan köklü sapı
An,Tarla sınırı
Böğün,Bugün.
Barabar,Beraber.
Dıngılmak,Otururarak hafif yan yatmakyana yuvarlanmak
Fistan,Basmadan yapılan kadın elbisesi.
Gara,Kara.Siyah
Gursak,Boğaz.Kursak
Göynüm,Gönlüm.
Gıran,Salgın hastalıkKenar
Garannık,Karanlık.
Garez,Kin.
Hadibakam,Hadi göreyim.
Hana,Hani Nerede?
İcar,Toprak kirası.
Köfün,Büyük sepet.
Gıt,KıtAz.
Kurdeşen,Allerji.
Galbır,Büyük gözenekli elek.
Kile,Buğday ölçülen 12-14 kilo alan kab.
Gama,Ucu eğri ve sivri olan bıçak.
Mintan,Sırta giyilen kısa elbise.
Nacap,Nasıl?
Okka,Kilenin sekizde birini ifade eden ölçü kabı.
Paklamak,Temizlemek.
Potin,Bot.
Poçu,Atkı dolak.(Düğünlerde Damat ve şağdıcın omzuna takılır)
Peşkir,ÖnlükMendil.
Seğitmek,Koşmak.
Zini,Sofrada üzerine yemek konulan geniş ve yuvarlaktepsi .
Velesbit,Bisiklet.
Zeree,Ondan dolayı mı? Ben farketmiştim zaten ..anlamında
Barak gafalı,Çok saçlı ve dağınık kafa
Göğer,Sebzeyeşillik yiyecek
Çebiççepiş,1 yaşında keçi yavrusu
Tınlamıyor,Cansızhareketsiz
Gocuk,Palto
Yamani eyi osun,Oh olsunMüstehaktır ona
Şinik Gafalı,Koca Kafalı (Kafası büyük olan anlamında )
Mile,MisketBilye
Gara Gazoz,Coca-Cola nın yöresel tabiri
Beyaz Gazoz,Sade Gazoz
Püsgevit,Bisküi
İme,Emi (Tembih sözü)
Zartlak,ŞişkoŞişman
Mıymıntı,Ağır davrananbeceriksiz
Yedek,Çay demliğiSu demliği anlamında
Gorcu,Köy Korucusu
Vesayit,VasıtaAraç
Çay guymak,Çay koymak(başka yörelerde çay dökmekte denir)
"Yöresel Kelimelerimiz ve Anlamları 
 
 
A 
A 'am",Ağabey
Abdal  Aşı,Karışık
Abdal,Çingene
Acer,Yeni
Acık,"Biraz , Azıcık"
Acışmak,Acı duymak
Açacak,Kapı kilidi/Anahtar
Adıbeli,Bari
Ağız,Kesik süt
Aha,Yakında
Akraz,Ahraz /Dilsiz
Akkeze,Baston
Alayı,Hepsi /Tümü
Allefçi,Tahıl eleyen kimselere verilen isim
Amadan,Tepsi
Ambelbeter,Bundan daha kötü
Angeslek,Bilerek/Kasten
Apal,Ağaçta iki dalın birleştiği yer
Arasa,Tahıl satılan yer
Araya ( Ariye ) vermek,Birşeyin bozulması
Arbaha,Çarşamba
Arbet,Çirkin
Arıp,Asma
Asas,Esas/Öz
Aspab,Günlük hayatta kişinin  üzerine giydiği elbise
Aşam,Akşam
Aşgün,Atkı/Boyun bağı
Avadanlık,Hediyelik eşya
Avra,Evli kadın
Ayel,Hanım/Karı
Atepsiz,Doğacak bebeklere sağlıklı doğması için söylenen söz
Ayret,Yakışmayan /uymayan
Azap,Bir yılık tarım işçisi
"Yöresel Kelimelerimiz ve Anlamları 
 
 
B 
Baa",Bana
Bakdeniz,Maydonoz
Balcan,Patlıcan
Balhımak,Sancımak
Barabar,Beraber
Bardak altı,Çatı katı
Basamak,Sabit merdiven
Bastık,Pekmezin kurutulmasıyla  yapılan bir tür tatlı
Başire,Pazarlık
Bayakleyin,Biraz önce
Baynamak,Vermek ( Yöremizdeki  abdalların kullandığı söz)
Bayramcalık,Bayram için alınan kıyafet
Bazlama,Sacta pişirilen ekmek
Beçare,Biçar/Çaresiz
Beleş,Bedava
Belleda,Kirli suların aktığı kanal
Berduş,"Boş gezen , Serseri"
Berkitmek,Sıkıştırmak
Bes,Sadece
Beyle,Böyle
Bıçkı,Testere
Bıldır,Geçen sene
Bıldırkımı,Geçen seneki gibi
Bi  kelle,Bir kere
Bi sohum,Bir lokma
Bilot,Bu defa
Binan,Bir defa
Bön,Bugün
Börkmek,Malca durumu iyileşmek/Zenginleşmek
Bum,Çocukluk dilinde '' Su''  anlamında kullanılır
Buyan şerbeti,Meyan şerbeti
Buymak,Üşümek
Bük üzümü,Böğürtlen
"Yöresel Kelimelerimiz ve Anlamları 
 
 
C  
Cahal",Cahil
Cahannamın Dibi,Cehennemin  dibi (beddua)
Calp,Sıvıların sıvılık derecesini belirten sıfat
Camız,Bir öküz çeşidi
Cardın,Büyük fare
Carıs,Rezil
Cartlak kebabı,Ciğer Kebabı
Cercer,Tahılları sapından ayıran kesici alet
Cereme,Karşılık /Ceza
Cıbartmak,Kızartmak
Cımalamak,Tırmalamak
Cımcıllık,Çok ıslak
Cıncık,Kırık cam parçası
Cırnak,Tırnak
Cırtatan,Kırsal bölgelerde yetişen yabani meyvesi olan bitki
Cıvık Yemek,Her türlü sulu yemeğe verilen isim
Cıvır,Güzel -Alımlı  kız ( yöremizdeki abdalların kullandığı söz)
Cızzık,Çizgi
Cibeltmek,Şımartmak
Cillop,Güzel
Cip,Çok/Aşırı
Civelek,Arazisi olmayan köylü
Codar,Sakat
Cor,Bir kişinin  karşılıklı sohbeti
Cor Etmek,Karşılıklı konuşmak
Cullub,Çocukların misket oynamak için yere kazdığı çukur
Culluk,hindi
Curun,Havuz
Cücük,Civciv
Cümbür Cemaat,Hep beraber/Topluca
Cümle Kapısı,Evin dış kapıdan sonra içte bulunan kapısı
"Yöresel Kelimelerimiz ve Anlamları 
 
 
 
Ç 
Çağla",Badem
Çakıldak,Atık eşyaların biriktirilmesi
Çapımak,Gevşemek
Çaput,Gereksiz bez parçası
Çarpana,Eski ayakkabı
Çatı,Kadınların su taşımak için boyunlarına astıkları alet
Çatma,Üç ayaklı askılık
